genre,danceability,energy,valence,tempo,acousticness,loudness,popularity
 scottish indie,0.3983333333333334,0.7196666666666666,0.6453333333333333,149.56199999999998,0.21151625,-8.054499999999999,60.833333333333336
 scottish new wave,0.6026,0.7604,0.605,111.9132,0.08268800000000001,-6.609999999999999,62.4
 scottish rock,0.6183333333333333,0.7058333333333334,0.6773333333333333,123.666,0.11529149999999999,-6.839166666666666,65.33333333333333
 scottish shoegaze,0.3983333333333334,0.7196666666666666,0.6453333333333333,149.56199999999998,0.21151625,-8.054499999999999,60.833333333333336
 scottish singer-songwriter,0.53425,0.605,0.63175,103.08725,0.1274475,-9.97025,60.0
 scream rap,0.627,0.123,0.11,131.883,0.859,-14.411,76.0
 screamo,0.4692222222222222,0.8996111111111111,0.508888888888889,137.32183333333333,0.017567055555555558,-4.070111111111111,67.38888888888889
 seattle hip hop,0.685,0.7916666666666666,0.7973333333333333,129.056,0.0397,-5.3036666666666665,78.33333333333333
 seattle indie,0.5634285714285714,0.47714285714285715,0.42942857142857144,129.479,0.5295285714285715,-8.897857142857143,66.28571428571429
 sheffield indie,0.54875,0.6673749999999999,0.603625,104.883125,0.11995125000000001,-6.5356250000000005,80.5
 shimmer pop,0.5830000000000001,0.761,0.4363333333333333,141.09266666666667,0.07493333333333334,-6.648333333333333,66.0
 shiver pop,0.761,0.525,0.531,80.87,0.44,-6.9,84.0
 shoegaze,0.4153846153846154,0.5248538461538461,0.35268076923076924,126.99765384615384,0.26750382692307695,-10.603538461538461,68.84615384615384
 show tunes,0.548,0.4805,0.465,125.18100000000001,0.601,-7.8294999999999995,72.0
 sierreno,0.6353333333333333,0.5676,0.7575333333333333,126.52126666666666,0.48119333333333336,-7.469333333333333,68.8
 singeli,0.696,0.636,0.358,81.593,0.158,-6.915,66.0
 singer-songwriter,0.5750273348519362,0.5528457858769932,0.6326635535307518,119.51396127562643,0.35798935261959,-10.55004783599089,61.72665148063781
 singer-songwriter pop,0.6357777777777778,0.5233888888888889,0.4597777777777778,128.64155555555556,0.40246666666666664,-7.543166666666668,77.27777777777777
 ska,0.6535000000000001,0.6306666666666666,0.7336666666666667,112.161,0.11220000000000001,-10.9995,60.666666666666664
 ska argentino,0.6738,0.7802,0.7456,119.96900000000001,0.07913400000000001,-6.4676,70.8
 ska chileno,0.675,0.67,0.726,90.23,0.00565,-7.218,67.0
 ska mexicano,0.7511538461538462,0.6406153846153846,0.586076923076923,92.05638461538462,0.08275538461538462,-6.554461538461538,62.46153846153846
 ska punk,0.7365,0.6412857142857142,0.596,91.95735714285715,0.08003714285714285,-7.313142857142857,62.57142857142857
 ska revival,0.60775,0.76075,0.7785,106.6655,0.027695,-9.7045,61.0
 skate punk,0.5188181818181818,0.870090909090909,0.6694545454545454,129.6822727272727,0.0402069,-6.508727272727273,69.54545454545455
 slacker rock,0.59,0.5289411764705882,0.4694529411764706,110.59341176470588,0.3723131176470589,-9.02435294117647,73.0
 slap house,0.6347857142857143,0.6399285714285714,0.3332428571428571,126.30435714285714,0.16766857142857144,-5.6974285714285715,80.42857142857143
 slc indie,0.329,0.444,0.225,162.279,0.0578,-9.973,72.0
 sleaze rock,0.4745384615384616,0.9098461538461537,0.4935384615384616,123.54307692307692,0.026777653076923078,-5.073769230769231,63.53846153846154
 slowcore,0.4819166666666667,0.3429333333333333,0.24123333333333333,125.08433333333333,0.606375,-12.641916666666667,68.5
 small room,0.4141111111111111,0.34944444444444445,0.3592,120.14011111111111,0.7225488888888889,-13.190222222222223,75.55555555555556
 smooth jazz,0.7094,0.5964,0.758,128.7306,0.4726,-10.355599999999999,61.8
 socal pop punk,0.5076842105263158,0.9020526315789473,0.6534736842105263,134.80794736842105,0.02624574736842105,-5.229631578947369,72.26315789473684
 soft rock,0.5818772663877266,0.576552440725244,0.6381981868898187,120.25694002789399,0.30852637238493724,-10.457373779637377,62.82984658298466
 solo wave,0.5980000000000001,0.6605,0.5705,130.2575,0.11565,-7.2465,61.5
 sophisti-pop,0.6283030303030304,0.612090909090909,0.6630515151515152,113.0541515151515,0.29397121212121213,-9.955969696969698,68.9090909090909
 soul,0.6485856573705179,0.5705685258964144,0.7128800796812749,120.10238247011952,0.3339879641434263,-10.407454183266934,61.940239043824704
 soul blues,0.6486875,0.4165625,0.6465625,118.644625,0.3685625,-10.4804375,62.6875
 soul jazz,0.6609999999999999,0.5644285714285714,0.7504285714285714,127.24557142857142,0.4818571428571429,-10.407857142857143,61.285714285714285
 souldies,0.6751111111111111,0.5046666666666666,0.7741111111111112,116.29277777777777,0.5501111111111112,-8.666111111111112,52.77777777777778
 soundtrack,0.476875,0.3829875,0.41305000000000003,98.10075,0.8105,-15.15675,59.75
 south african rock,0.504,0.8619999999999999,0.3866,138.64360000000002,0.00247074,-3.6098,68.2
 south carolina hip hop,0.7330769230769231,0.609,0.6031538461538462,121.65830769230769,0.113052,-6.264923076923077,71.53846153846153
 southern americana,0.537,0.365,0.441,80.597,0.563,-12.303,71.0
 southern hip hop,0.7320204081632653,0.6672959183673469,0.5107571428571429,114.45791836734693,0.14917163265306121,-5.9613163265306115,70.07142857142857
 southern rock,0.5724642857142858,0.6297589285714286,0.7324375,122.67469642857144,0.24655163392857143,-9.712410714285713,59.517857142857146
 southern soul,0.6133492063492063,0.46046031746031746,0.6603,122.07284126984126,0.4300095238095238,-11.486698412698413,59.01587301587302
 space age pop,0.4975,0.176,0.35655000000000003,103.87,0.8875,-19.884999999999998,50.5
 spacegrunge,0.47015384615384614,0.6433846153846154,0.39316923076923077,123.17815384615385,0.06419271615384615,-9.209846153846154,67.3076923076923
 spanish new wave,0.5870000000000001,0.8766666666666666,0.6126666666666667,123.62600000000002,0.10039999999999999,-6.963333333333334,67.0
 spanish pop,0.656875,0.6351249999999999,0.55175,116.85425000000001,0.399525,-7.831875,70.125
